"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24188","test_Credkart_registration_003","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_User_Profile","test_Credkart_User_Profile_001","",""
"","11524","test_credkart_login_params_ddt_005[credkart_login_data0]","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_login_params_005","test_login_params_003","",""
"","0","test_credkart_login_params_ddt_005[credkart_login_data0]","","2026-02-01","skipped","2026-02-01","","","",""
"","0","test_Credkart_login_002","","2026-02-01","skipped","2026-02-01","","","",""
"","3181","test_verify_Credkart_url_001","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_User_Profile","test_Credkart_User_Profile_001","",""
"","67066","test_Credkart_login_ddt_004","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_User_Profile","test_CredKart_Login_Excel_002","",""
"","15804","test_Credkart_login_002","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_User_Profile","test_Credkart_User_Profile_001","",""
"","17721","test_credkart_login_params_ddt_005[credkart_login_data2]","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_login_params_005","test_login_params_003","",""
"","0","test_credkart_login_params_ddt_005[credkart_login_data2]","","2026-02-01","skipped","2026-02-01","","","",""
"","22732","test_credkart_login_params_ddt_005[credkart_login_data3]","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_login_params_005","test_login_params_003","",""
"","9056","test_credkart_login_params_ddt_005[credkart_login_data1]","CredKart_Pytest_Framework.testCases","2026-02-01","passed","2026-02-01","Test_login_params_005","test_login_params_003","",""
